plan_id,crop_id,total_weightage,cmpl_total_weightage,primary_output,block_area,weight_score,yield_per_acre,stage_0_weight,cmpl_stage_0_weight,stage_1_weight,cmpl_stage_1_weight,stage_2_weight,cmpl_stage_2_weight,stage_3_weight,cmpl_stage_3_weight,stage_4_weight,cmpl_stage_4_weight,stage_5_weight,cmpl_stage_5_weight,stage_6_weight,cmpl_stage_6_weight,stage_7_weight,cmpl_stage_7_weight,stage_8_weight,cmpl_stage_8_weight,stage_9_weight,cmpl_stage_9_weight,seed_type,est_yld_per_acre,range_from,range_to
1246,133,270.75,182.25,580,0.75,0.67313,773.3333333,0,0,9.75,9.75,16.5,7.5,59,37.5,105.5,62.5,80,65,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
2156,861,243.75,164.25,13350,2,0.673846,6675,0,0,13.75,8.75,10,7.5,67.5,47,123,96,29.5,5,0,0,0,0,0,0,0,0,Variety,12140.59,10117.16,14164.02
1114,804,294.75,268.75,283,0.15,0.911789,1886.666667,0,0,13.75,3.75,10,7.5,78,69,120.5,118.5,72.5,70,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
863,802,66.25,38.75,5000,3,0.584905,1666.666667,0,0,11.25,6.25,12.5,10,35,17.5,7.5,5,0,0,0,0,0,0,0,0,0,0,Variety,5260.92,4046.86,6474.98
3364,806,348.75,316.25,4000,0.25,0.90681,16000,0,0,11.25,6.25,12.5,12.5,75,70,165,157.5,85,70,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2258,354,352.75,307.75,1500,0.5,0.87243,3000,0,0,9.75,7.25,16.5,11.5,82.5,82.5,164,141.5,80,65,0,0,0,0,0,0,0,0,Hybrid,15175.74,14164.02,16187.45
2809,801,468.75,304.25,7000,0.5,0.649066,14000,0,0,11.25,6.25,15,12.5,98.5,96.5,249,154,95,35,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
1647,811,205.75,188.75,18348,1.5,0.917375,12232,0,0,11.25,6.25,12.5,10,65,63,89.5,89.5,27.5,20,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
3053,806,348.75,286.25,1000,0.5,0.820788,2000,0,0,11.25,11.25,12.5,12.5,65,65,175,137.5,85,60,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1727,859,128.5,57.5,870,1.4,0.44747,621.4285714,0,0,15,10,12.5,10,58.5,25,0,0,42.5,12.5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
