plan_id,crop_id,total_weightage,cmpl_total_weightage,primary_output,block_area,weight_score,yield_per_acre,stage_0_weight,cmpl_stage_0_weight,stage_1_weight,cmpl_stage_1_weight,stage_2_weight,cmpl_stage_2_weight,stage_3_weight,cmpl_stage_3_weight,stage_4_weight,cmpl_stage_4_weight,stage_5_weight,cmpl_stage_5_weight,stage_6_weight,cmpl_stage_6_weight,stage_7_weight,cmpl_stage_7_weight,stage_8_weight,cmpl_stage_8_weight,stage_9_weight,cmpl_stage_9_weight,seed_type,est_yld_per_acre,range_from,range_to
3748,891,359.25,273.25,437,0.5,0.760612,874,0,0,13.75,8.75,12.5,10,85.5,71.5,150,118,97.5,65,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2584,853,179.25,150.25,3363,1,0.838214,3363,0,0,13.75,8.75,10,7.5,41.5,34.5,62,52,52,47.5,0,0,0,0,0,0,0,0,Variety,9109.31,8097.16,10121.45
1475,807,389.25,365.25,9020,2.25,0.938342,4008.888889,0,0,18.75,13.75,12.5,10,115.5,106.5,152.5,147.5,90,87.5,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
2466,811,158.25,141.25,14471,0.5,0.892575,28942,0,0,11.25,6.25,12.5,10,50,43,57,57,27.5,25,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
2150,871,175.75,156.25,627,1,0.889046,627,0,0,11.25,6.25,12.5,10,142,135,0,0,10,5,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
973,803,360.25,227.75,436.5,0.25,0.632199,1746,0,0,13.75,8.75,12.5,10,85.5,69.5,151,89.5,97.5,50,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
2504,814,237.75,141.25,585.5,0.5,0.594111,1171,0,0,16.25,8.75,7.5,5,83.5,61.5,73,61,57.5,5,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
2489,853,189.25,131.25,4374,1.25,0.693527,3499.2,0,0,13.75,8.75,10,7.5,46.5,27.5,62,45,57,42.5,0,0,0,0,0,0,0,0,Variety,9109.31,8097.16,10121.45
2425,355,374.25,364.25,1000,0.75,0.973279,1333.333333,0,0,12.25,9.75,12.5,10,130.5,130.5,164,159,55,55,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
1980,812,274.25,144.75,1400,0.5,0.527803,2800,0,0,11.25,6.25,12.5,10,121.5,76.5,91.5,47,37.5,5,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
3478,806,338.75,268.75,6000,1,0.793357,6000,0,0,6.25,6.25,12.5,12.5,70,65,165,130,85,55,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2784,888,262.5,192,9158,1,0.731428,9158,0,0,13.75,8.75,12.5,10,108,71.5,88,64,39,36.5,1.25,1.25,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
597,842,950.25,428.75,12,1.5,0.451197,8,0,0,18.75,11.25,12.5,10,118,57.5,458.5,130,342.5,220,0,0,0,0,0,0,0,0,Variety,16194.33,14170.04,18218.62
1936,882,407.25,295.75,319,0.94,0.726212,339.3617021,0,0,11.25,6.25,12.5,10,102.5,66,83.5,78.5,197.5,135,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
1047,835,340.25,169.25,2430,1,0.497428,2430,0,0,16.25,11.25,10,7.5,120,106,161.5,39.5,32.5,5,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1395,118,305.25,274.75,6600,0.75,0.900081,8800,0,0,17.25,14.75,12.5,10,53.5,42.5,92,77.5,130,130,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
485,810,108.5,68.75,3455,1,0.63364,3455,0,0,15,8.75,12.5,10,73.5,45,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
3083,888,282.5,201.5,8181,1,0.713274,8181,0,0,13.75,8.75,12.5,10,123,108,93,66,39,7.5,1.25,1.25,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2110,860,307.25,234.75,17076,2,0.764035,8538,0,0,11.25,6.25,12.5,10,138.5,108,66,44,79,66.5,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
3464,875,390.75,347.75,1943,2,0.889955,971.5,32.5,23,13.75,8.75,12.5,10,86,82,174,174,72,50,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
3559,357,607.25,273.25,1500,0.5,0.449979,3000,0,0,17.25,14.75,15,12.5,125.5,125.5,334.5,100.5,115,20,0,0,0,0,0,0,0,0,Hybrid,15175.74,14164.02,16187.45
3281,889,421.75,285.75,714,0.25,0.677534,2856,0,0,16.25,11.25,10,7.5,130,107,208,130,57.5,30,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1483,834,149.75,117.75,1597,0.5,0.78631,3194,0,0,13.75,8.75,10,7.5,36.5,34.5,82,62,7.5,5,0,0,0,0,0,0,0,0,Variety,9109.31,8097.16,10121.45
3664,859,143.5,116,438,1.5,0.808362,292,0,0,15,10,12.5,10,68.5,68.5,0,0,47.5,27.5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2436,801,463.75,304.75,7000,0.5,0.657142,14000,0,0,11.25,6.25,15,12.5,93.5,65.5,249,175.5,95,45,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
3252,889,411.75,291.75,1471,1,0.708561,1471,0,0,16.25,11.25,10,7.5,115,111,213,147,57.5,15,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2606,359,275.75,268.25,1100,0.75,0.972801,1466.666667,0,0,19.75,17.25,10,7.5,49,46.5,67,67,130,130,0,0,0,0,0,0,0,0,Hybrid,9105.44,8093.73,10117.16
1851,820,307.25,278.25,682,0.25,0.905614,2728,0,0,11.25,6.25,15,12.5,75.5,75.5,128,124,77.5,60,0,0,0,0,0,0,0,0,Variety,24281.18,16187.45,32374.9
1455,354,269.25,236.25,200,0.38,0.877437,526.3157895,0,0,9.75,9.75,16.5,7.5,65,48,98,91,80,80,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
2254,805,191.25,105.25,3000,0.5,0.550326,6000,0,0,13.75,6.25,10,7.5,81,52,59,24.5,27.5,15,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
2269,860,298.75,190.25,2400,0.5,0.63682,4800,0,0,11.25,6.25,12.5,10,102,80,74,51.5,99,42.5,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1873,855,336.75,298.25,1887,3,0.885671,629,0,0,13.75,8.75,10,7.5,76,64.5,101,101,136,116.5,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
1660,870,296.25,248.25,2280,3,0.837974,760,0,0,11.25,6.25,12.5,10,60,52,64.5,59.5,148,120.5,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
2132,858,155.25,140.75,1764,0.5,0.906602,3528,0,0,16.25,11.25,7.5,7.5,79,72,0,0,52.5,50,0,0,0,0,0,0,0,0,Variety,2630.46,2428.12,2832.8
3541,825,246.25,188.75,158,0.5,0.766497,316,0,0,6.25,6.25,10,10,52.5,52.5,122.5,90,55,30,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2464,812,325.75,207.25,18970,1.5,0.636224,12646.66667,0,0,11.25,6.25,12.5,10,161,154,108.5,37,32.5,0,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
3522,805,181.25,143.75,2622,0.75,0.793103,3496,0,0,8.75,8.75,10,10,50,50,87.5,75,25,0,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
463,824,88.25,31.25,159,0.39,0.354107,407.6923077,0,0,16.25,8.75,7.5,7.5,57,10,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,2630.46,2428.12,2832.8
2661,869,335.25,181.25,840,0.25,0.540641,3360,0,0,13.75,8.75,10,7.5,144,77.5,71,45,96.5,42.5,0,0,0,0,0,0,0,0,Variety,4249.21,2428.12,6070.29
774,824,83.25,46.25,508,2,0.555555,254,0,0,16.25,13.75,7.5,5,52,22.5,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,2630.46,2428.12,2832.8
3198,357,607.25,362.75,1500,0.5,0.597365,3000,0,0,17.25,14.75,15,12.5,125.5,125.5,334.5,165,115,45,0,0,0,0,0,0,0,0,Hybrid,15175.74,14164.02,16187.45
2991,803,281.25,276.25,1500,0.25,0.982222,6000,0,0,11.25,11.25,7.5,7.5,65,60,102.5,102.5,95,95,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
1767,358,526.75,449.25,5200,1.5,0.852871,3466.666667,0,0,9.75,7.25,17.5,15,115,115,292,262,92.5,50,0,0,0,0,0,0,0,0,Hybrid,27316.32,24281.18,30351.47
3503,888,267.5,185.75,4380,0.75,0.694392,5840,0,0,13.75,8.75,12.5,10,118,99,83,63,39,5,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
425,801,383.75,229.75,4146.5,0.5,0.598697,8293,0,0,11.25,8.75,15,10,71,57.5,204,108.5,82.5,45,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
1390,118,247.75,217.25,474,0.5,0.876892,948,0,0,19.75,17.25,10,7.5,38.5,27.5,49.5,35,130,130,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
1349,810,101,62,132,1.4,0.613861,94.28571429,0,0,15,10,12.5,10,66,37,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
919,807,384.25,324.25,607,0.5,0.843851,1214,0,0,18.75,13.75,12.5,10,115.5,110.5,147.5,132.5,90,57.5,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
889,808,166,119,1400,0.5,0.716867,2800,0,0,11,8.5,12.5,10,88,57.5,49,40,5.5,3,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
2813,812,332.25,159.25,8000,2,0.479307,4000,0,0,11.25,6.25,12.5,10,172.5,133,103.5,0,32.5,10,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2092,870,301.25,237.25,2418,1,0.787551,2418,0,0,11.25,6.25,12.5,10,60,58,74.5,69.5,143,93.5,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
2533,875,353.25,294.25,263,0.16,0.832979,1643.75,0,0,13.75,8.75,12.5,10,81,56.5,174,149.5,72,69.5,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
1383,121,175.25,132.25,2100,1,0.754636,2100,0,0,4.75,4.75,17.5,15,38.5,22.5,39.5,20,75,70,0,0,0,0,0,0,0,0,Variety,13152.3,12140.59,14164.02
1213,128,119.75,82.25,100,0.65,0.686847,153.8461538,0,0,9.75,9.75,15,7.5,46.5,27.5,38.5,32.5,10,5,0,0,0,0,0,0,0,0,Variety,9105.44,6070.29,12140.59
3264,889,416.75,261.25,1464,1.25,0.626874,1171.2,0,0,16.25,11.25,10,7.5,115,107.5,218,120,57.5,15,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2006,855,336.75,129.25,48,0.94,0.383815,51.06382979,0,0,13.75,8.75,10,7.5,76,51.5,101,61.5,136,0,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
1417,125,161.75,107.25,6000,0.5,0.66306,12000,32,17.5,9.75,9.75,20,12.5,60.5,35,29.5,27.5,10,5,0,0,0,0,0,0,0,0,Variety,12140.59,8093.73,16187.45
1778,855,284.25,166.75,501,1,0.586631,501,0,0,13.75,6.25,12.5,7.5,66,49.5,83.5,71,108.5,32.5,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
1121,810,98.5,45.75,125,1,0.464467,125,0,0,15,8.75,12.5,10,63.5,27,0,0,7.5,0,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
272,811,271.25,126.75,3557,2,0.467281,1778.5,0,0,11.25,11.25,12.5,12.5,153.5,70.5,66.5,22.5,27.5,10,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
1288,227,308.75,274.75,1650,0.5,0.889878,3300,0,0,12.25,12.25,12.5,10,101,90,128,107.5,55,55,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
3097,888,287.5,244.25,6022,1,0.849565,6022,0,0,13.75,8.75,12.5,10,128,123,93,88,39,14.5,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1719,841,420.25,281.25,9,0.5,0.669244,18,0,0,13.75,8.75,12.5,10,91,87,213,135.5,90,40,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
2154,859,133.5,74.5,3555,3,0.558052,1185,0,0,15,10,12.5,10,58.5,39.5,0,0,47.5,15,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2465,859,131,67.5,5115,0.8,0.515267,6393.75,0,0,15,10,12.5,7.5,56,45,0,0,47.5,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
1420,807,389.25,310.25,3665,0.5,0.797045,7330,0,0,18.75,13.75,12.5,10,115.5,96.5,152.5,127.5,90,62.5,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
788,835,305.25,155.75,10785,2,0.510237,5392.5,0,0,16.25,13.75,10,5,107.5,45,139,62,32.5,30,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2952,885,482.25,247.75,818,0.75,0.513737,1090.666667,0,0,18.75,8.75,15,12.5,122.5,88.5,216.5,103,109.5,35,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1760,859,128.5,60,2369,2.8,0.466926,846.0714286,0,0,15,10,12.5,10,58.5,10,0,0,42.5,30,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2832,812,314.25,266.75,2299,1,0.848846,2299,0,0,11.25,6.25,12.5,10,141.5,141.5,116.5,109,32.5,0,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1938,879,224.25,135.75,487,0.94,0.605351,518.0851064,0,0,11.25,6.25,12.5,10,67.5,38.5,61.5,51.5,71.5,29.5,0,0,0,0,0,0,0,0,Variety,7486.7,4856.24,10117.16
760,824,83.25,53.75,178,2.8,0.645645,63.57142857,0,0,16.25,13.75,7.5,7.5,52,32.5,0,0,7.5,0,0,0,0,0,0,0,0,0,Variety,2630.46,2428.12,2832.8
604,842,964.5,362.5,2584,2,0.375842,1292,28.75,18.75,16.25,8.75,12.5,10,90.5,40,479,95,337.5,190,0,0,0,0,0,0,0,0,Variety,16194.33,14170.04,18218.62
881,807,379.25,211.75,846,1.5,0.558338,564,0,0,21.25,8.75,10,7.5,113,75.5,147.5,80,87.5,40,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
3424,853,151.25,146.25,2000,0.5,0.966942,4000,0,0,8.75,8.75,7.5,7.5,37.5,37.5,60,55,37.5,37.5,0,0,0,0,0,0,0,0,Variety,9109.31,8097.16,10121.45
2726,810,106,84.75,46.4,0.75,0.799528,61.86666667,0,0,15,6.25,12.5,7.5,71,66,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2875,855,321.75,155.75,3415,2,0.484071,1707.5,0,0,13.75,8.75,10,7.5,71,35,96,67,131,37.5,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
2111,870,305,232.5,5988,2,0.762295,2994,36.25,25.25,11.25,6.25,12.5,10,77.5,60,41.5,29,126,102,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
2473,814,247.75,132.25,593,0.16,0.533804,3706.25,0,0,16.25,8.75,7.5,5,83.5,54,83,59.5,57.5,5,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
3169,806,406.25,338.75,559,1,0.833846,559,0,0,16.25,6.25,15,12.5,73.5,68.5,214,196.5,87.5,55,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1596,813,292.75,282.75,1050,0.25,0.965841,4200,0,0,13.75,8.75,10,7.5,101,101,110.5,110.5,57.5,55,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
3423,886,331.75,311.75,175,2.3,0.939713,76.08695652,0,0,13.75,8.75,12.5,10,95.5,95.5,142.5,137.5,67.5,60,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2020,812,285.5,131.25,1088.8,0.5,0.459719,2177.6,36.25,0,11.25,6.25,12.5,10,111.5,82.5,81.5,32.5,32.5,0,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2529,876,477.25,397.25,1180,0.16,0.832372,7375,0,0,13.75,8.75,12.5,7.5,128,88.5,245.5,217.5,77.5,75,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
3644,889,381.75,196.75,452,0.8,0.515389,565,0,0,16.25,11.25,10,7.5,107.5,107.5,188,65.5,60,5,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
969,810,111,57,4047,0.6,0.513513,6745,0,0,15,10,12.5,7.5,76,34.5,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
3099,355,374.25,238.75,1000,0.5,0.637942,2000,0,0,12.25,9.75,12.5,10,130.5,130.5,164,78.5,55,10,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
3193,357,607.25,376.75,1000,0.5,0.620419,2000,0,0,17.25,14.75,15,12.5,125.5,125.5,334.5,174,115,50,0,0,0,0,0,0,0,0,Hybrid,15175.74,14164.02,16187.45
1610,807,341.75,113.75,1344,2,0.332845,672,0,0,21.25,11.25,10,5,108,60.5,120,32,82.5,5,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
2487,831,302.5,251.25,12300,0.5,0.830578,24600,0,0,11.25,6.25,12.5,10,132.5,127.5,125,102.5,20,5,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1178,163,521.25,442.75,2500,0.5,0.8494,5000,0,0,9.75,9.75,20,15,105.5,87.5,293.5,243,92.5,87.5,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1489,352,118.75,95.75,22000,0.5,0.806315,44000,0,0,9.75,9.75,15,7.5,48.5,38,35.5,35.5,10,5,0,0,0,0,0,0,0,0,Variety,9105.44,6070.29,12140.59
131,810,119.5,56.25,570,2,0.470711,285,0,0,10,6.25,12.5,10,74.5,20,0,0,22.5,20,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2274,869,320.25,178.25,3255,0.5,0.556596,6510,0,0,13.75,8.75,10,7.5,139,114.5,61,37.5,96.5,10,0,0,0,0,0,0,0,0,Variety,4249.21,2428.12,6070.29
2074,811,220.25,196.25,6497,0.5,0.891032,12994,0,0,11.25,1.25,12.5,10,95,86,69,69,32.5,30,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
690,817,578.25,381.25,2054,0.25,0.659316,8216,0,0,11.25,3.75,16.5,10,108.5,72.5,359.5,230,82.5,65,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
3256,888,277.5,207.75,5282,1.5,0.748648,3521.333333,0,0,13.75,8.75,12.5,10,123,111,88,78,39,0,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2211,859,126,99.5,3670,2.5,0.789682,1468,0,0,15,7.5,12.5,10,51,37,0,0,47.5,45,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2010,860,279.75,238.75,1665,1,0.85344,1665,0,0,11.25,6.25,12.5,10,60,51,96.5,91.5,99.5,80,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2172,228,117.5,75,600,0.25,0.638297,2400,0,0,15,15,12.5,7.5,39,22.5,46,25,5,5,0,0,0,0,0,0,0,0,Variety,1315.23,1011.72,1618.75
2237,358,299.25,291.75,5000,1,0.974937,5000,0,0,12.25,9.75,12.5,7.5,67.5,67.5,117,117,90,90,0,0,0,0,0,0,0,0,Hybrid,27316.32,24281.18,30351.47
3144,859,143.5,99.5,1901,2,0.693379,950.5,0,0,15,10,12.5,10,68.5,54.5,0,0,47.5,25,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2057,805,208.25,112.25,1718000,1,0.539015,1718000,0,0,13.75,8.75,7.5,5,53.5,34.5,106,64,27.5,0,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
3339,888,282.5,199.25,11472,1.75,0.705309,6555.428571,0,0,13.75,8.75,12.5,10,123,103,93,68,39,9.5,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2169,811,220.25,210.25,130,1,0.954597,130,0,0,11.25,6.25,12.5,10,105,105,59,59,32.5,30,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
2811,801,466.25,396.25,815,0.75,0.849865,1086.666667,0,0,11.25,6.25,15,12.5,86,86,259,239,95,52.5,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
2023,870,296.25,224.25,5190,0.75,0.756962,6920,0,0,11.25,1.25,12.5,10,60,39.5,64.5,52,148,121.5,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
2427,859,131,121,1725,0.8,0.923664,2156.25,0,0,15,10,12.5,10,61,61,0,0,42.5,40,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
308,826,161.25,80.25,774,1,0.497674,774,0,0,11.25,11.25,12.5,12.5,130,56.5,0,0,7.5,0,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
3161,825,278.75,263.75,897,0.5,0.946188,1794,0,0,8.75,8.75,10,10,95,85,110,110,55,50,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1584,807,394.25,218.75,2506,0.25,0.55485,10024,0,0,18.75,13.75,12.5,10,115.5,81.5,157.5,103.5,90,10,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
566,825,307.25,126.25,774,2,0.410903,387,0,0,13.75,11.25,12.5,10,95.5,45,128,30,57.5,30,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
3039,841,318.25,278.25,8534,0.5,0.874312,17068,0,0,6.25,6.25,12.5,12.5,50,45,169.5,169.5,80,45,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
2883,859,133.5,104.5,7901,2,0.782771,3950.5,0,0,15,10,12.5,10,58.5,54.5,0,0,47.5,30,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
3307,858,145.25,120.25,541,3,0.827882,180.3333333,0,0,16.25,11.25,7.5,7.5,74,69,0,0,47.5,32.5,0,0,0,0,0,0,0,0,Variety,2630.46,2428.12,2832.8
2306,876,494.25,367.25,3086.5,0.33,0.743045,9353.030303,0,0,13.75,8.75,12.5,10,145.5,101,245,207.5,77.5,40,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
207,810,106,93.5,1000,0.4,0.882075,2500,0,0,15,15,12.5,12.5,71,61,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
854,803,325.25,215.75,16071,1.2,0.663335,13392.5,0,0,16.25,8.75,10,7.5,78,38,123.5,66.5,97.5,95,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
1094,305,154.75,90.75,500,1.5,0.586429,333.3333333,0,0,0,0,6,6,78,40,54.5,33.5,16.25,11.25,0,0,0,0,0,0,0,0,Variety,16187.45,14164.02,18210.88
3366,803,383.75,243.75,100,0.5,0.635179,200,0,0,8.75,3.75,10,10,77.5,77.5,157.5,97.5,130,55,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
1852,804,277.25,260.25,65,0.25,0.938683,260,0,0,13.75,8.75,10,7.5,73,73,108,106,72.5,65,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
3129,858,145.25,127.75,1012,2.8,0.879518,361.4285714,0,0,16.25,11.25,7.5,7.5,74,69,0,0,47.5,40,0,0,0,0,0,0,0,0,Variety,2630.46,2428.12,2832.8
1110,808,166,130.5,800,0.5,0.786144,1600,0,0,11,1,12.5,10,88,79.5,49,37,5.5,3,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
2303,861,248.75,150.25,4500,0.67,0.60402,6716.41791,0,0,13.75,8.75,10,7.5,67.5,20,123,89.5,34.5,24.5,0,0,0,0,0,0,0,0,Variety,12140.59,10117.16,14164.02
2101,835,335.25,320.25,208,1,0.955257,208,0,0,16.25,11.25,10,7.5,120,120,156.5,151.5,32.5,30,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2539,805,245.75,215.75,2545,0.75,0.877924,3393.333333,0,0,13.75,3.75,10,7.5,76,66,123.5,118.5,22.5,20,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
1691,189,165.25,77.5,2850,3,0.468986,950,0,0,0,0,0,0,0,0,110.25,70,50,7.5,5,0,0,0,0,0,0,0,Variety,4600,1200,8000
2510,876,467.25,388.25,5779,0.33,0.830925,17512.12121,0,0,13.75,8.75,12.5,7.5,128,101.5,235.5,195.5,77.5,75,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
1413,163,516.25,457.75,8,0.5,0.886682,16,0,0,9.75,9.75,17.5,15,103,87.5,293.5,258,92.5,87.5,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2253,835,340.25,108.75,1,1,0.319617,1,0,0,16.25,11.25,10,7.5,125,75,156.5,15,32.5,0,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1272,803,360.25,8.75,125,0.25,0.024288,500,0,0,13.75,1.25,12.5,7.5,90.5,0,146,0,97.5,0,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
332,832,231.25,140.75,331,1,0.608648,331,0,0,11.25,11.25,12.5,12.5,170,107,30,5,7.5,5,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
2001,812,287.75,225.25,5627,0.5,0.782797,11254,28,28,11.25,1.25,17.5,15,102,92,96.5,79,32.5,10,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2223,358,299.25,291.75,4200,1.25,0.974937,3360,0,0,12.25,9.75,12.5,7.5,67.5,67.5,117,117,90,90,0,0,0,0,0,0,0,0,Hybrid,27316.32,24281.18,30351.47
2496,859,116,92,3859,1.4,0.793103,2756.428571,0,0,15,10,12.5,10,46,42,0,0,42.5,30,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
3641,894,294.25,153.75,9,0.25,0.522514,36,0,0,16.25,11.25,10,7.5,80.5,66.5,117.5,63.5,70,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
218,812,347.25,181.75,688,1.5,0.523398,458.6666667,0,0,11.25,11.25,12.5,12.5,187.5,120.5,103.5,27.5,32.5,10,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2003,860,308.75,203.25,150,0.94,0.658299,159.5744681,0,0,11.25,6.25,12.5,10,102,80.5,79,66.5,104,40,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
793,801,461.25,203.75,1103,1.25,0.441734,882.4,0,0,11.25,8.75,15,10,96,35,244,120,95,30,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
2994,801,323.25,302.25,8166,0.5,0.935034,16332,0,0,6.25,6.25,12.5,12.5,50,45,174.5,168.5,80,70,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
3655,825,241.25,131.25,1000,1.25,0.544041,800,0,0,6.25,6.25,10,10,47.5,47.5,122.5,57.5,55,10,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
