crop_area,crop_name,crop_id,avg_yield,avg_yield_area
0.38,BOTTLEGOURD (RA),807,6298.666666,16575.4386
0.4,BOTTLEGOURD (RA),807,2238,5595
0.5,BOTTLEGOURD (RA),807,4063.285714,8126.571429
0.6,BOTTLEGOURD (RA),807,696,1160
0.7,BOTTLEGOURD (RA),807,3629,5184.285714
0.9,BOTTLEGOURD (RA),807,308,342.2222222
1,BOTTLEGOURD (RA),807,3997.666666,3997.666667
1.5,BOTTLEGOURD (RA),807,3150.55,2100.366667
0.2,CORN SWEET (RA),808,500,2500
0.25,Corn - Sweet (RA),808,1678,6712
0.3,CORN SWEET (RA),808,112,373.3333333
0.5,Corn - Sweet (RA),808,2973.4,5946.8
0.5,CORN SWEET (RA),808,632,1264
0.6,CORN SWEET (RA),808,1870,3116.666667
0.7,Corn - Sweet (RA),808,7251,10358.57143
0.75,Corn - Sweet (RA),808,4490.5,5987.333333
0.8,Corn - Sweet (RA),808,4632,5790
1,CORN SWEET (RA),808,300,300
1,Baby Corn (Ra),809,1,1
0.02,SPINACH (RA),810,71.7,3585
0.1,Spinach (RA),810,570,5700
0.2,Spinach (RA),810,1344.5,6722.5
0.25,Spinach (RA),810,1595.2,6380.8
0.3,Spinach (RA),810,1532.785714,5109.285714
0.4,Spinach (RA),810,1368.285714,3420.714286
0.5,Spinach (RA),810,1588.666666,3177.333333
0.6,Spinach (RA),810,1944.333333,3240.555556
0.9,Spinach (RA),810,3313,3681.111111
0.02,CABBAGE (RA),811,130,6500
0.03,CABBAGE (RA),811,477.5,15916.66667
0.2,CABBAGE (RA),811,7604,38020
0.25,CABBAGE (RA),811,1677.95,6711.8
0.3,Cabbage (Ra),811,3319.5,11065
0.4,Cabbage (Ra),811,4957.333333,12393.33333
0.5,CABBAGE (RA),811,7379.538461,14759.07692
0.6,Cabbage (Ra),811,2165.5,3609.166667
0.7,Cabbage (Ra),811,5905,8435.714286
0.75,CABBAGE (RA),811,7,9.333333333
1,CABBAGE (RA),811,11454.6,11454.6
2,CABBAGE (RA),811,35687,17843.5
0.2,Cauliflower (Ra),812,688,3440
0.25,CAULIFLOWER (RA),812,2792.75,11171
0.35,CAULIFLOWER (RA),812,3100,8857.142857
0.5,CAULIFLOWER (RA),812,3540.82,7081.64
0.8,Cauliflower (Ra),812,5060,6325
1,Cauliflower (Ra),812,9516.428571,9516.428571
0.12,BEANS - FRENCH (Pole Type) (RA),813,1050,8750
0.15,Beans - French (Pole Type) (RA),813,60,400
0.25,BEANS - FRENCH (Pole Type) (RA),813,1025.666666,4102.666667
0.2,Carrot - Red (RA),815,3440,17200
0.5,Carrot - Red (RA),815,4583,9166
0.04,CARROT - ORANGE (RA),816,34,850
0.5,CARROT - ORANGE (RA),816,3082,6164
0.12,CHILLI - GREEN,817,237,1975
0.13,Chilli - Green (RA),817,1400,10769.23077
0.25,Chilli - Green (RA),817,599.5,2398
0.5,Chilli - Green (RA),817,1161,2322
0.5,Onion - Red (RA),818,9564,19128
1,ONION - RED (RA),818,10400,10400
1.5,ONION - RED (RA),818,16500,11000
0.3,Potato (Ra),819,5025,16750
0.5,POTATO (RA),819,19000,38000
0.6,Potato (Ra),819,7460,12433.33333
0.74,Potato (Ra),819,3890,5256.756757
1,Potato (Ra),819,9195.375,9195.375
2,Potato (Ra),819,27600,13800
0.25,BRINJAL (RA),820,682,2728
0.5,BRINJAL (RA),820,400,800
0.6,BRINJAL (RA),820,1028,1713.333333
0.02,CORIANDER – Leaf (RA),824,3.6,180
0.04,Coriander – Leaf (Ra),824,82,2050
0.3,CORIANDER – Leaf (RA),824,178,593.3333333
0.4,CORIANDER – Leaf (RA),824,398.5,996.25
0.5,CORIANDER – Leaf (RA),824,899.714285,1799.428571
0.8,CORIANDER – Leaf (RA),824,1768.5,2210.625
0.9,CORIANDER – Leaf (RA),824,677,752.2222222
1.5,CORIANDER – Leaf (RA),824,1200,800
0.2,Cucumber Hybrid (RA),825,774,3870
0.25,CUCUMBER HYBRID (RA),825,1377.666666,5510.666667
0.4,Cucumber Hybrid (RA),825,3312,8280
0.5,Cucumber Hybrid (RA),825,2804,5608
0.75,CUCUMBER HYBRID (RA),825,34504,46005.33333
0.8,Cucumber Hybrid (RA),825,12656,15820
0.33,Spring Onion (Ra),826,774,2345.454545
0.6,SPRING ONION (RA),826,2668,4446.666667
1,Spring Onion (Ra),826,3800,3800
0.1,MUSTARD LEAF (RA),827,83,830
1,Mustard Greens (Ra),827,500,500
0.03,FENUGREEK (RA),828,6,200
0.3,Fenugreek (Ra),828,326,1086.666667
0.5,MUSKMELON (RA),830,774,1548
0.25,Watermelon (Ra),831,1842.5,7370
0.35,WATERMELON (RA),831,6271,17917.14286
0.5,Watermelon (Ra),831,5708.5,11417
0.6,WATERMELON (RA),831,1084,1806.666667
0.75,WATERMELON (RA),831,5398,7197.333333
1,WATERMELON (RA),831,19608,19608
1.25,Watermelon (Ra),831,15812,12649.6
2,WATERMELON (RA),831,4506,2253
2.5,WATERMELON (RA),831,23000,9200
3,WATERMELON (RA),831,42749.7,14249.9
0.2,Broccoli (Ra),832,297,1485
0.3,BROCCOLI (RA),832,1034,3446.666667
0.4,Broccoli (Ra),832,331,827.5
0.5,BROCCOLI (RA),832,1560,3120
0.25,Knol Khol (Ra),833,2255,9020
0.13,RADISH (Asiatic) (RA),834,525,4038.461538
0.25,RADISH (Asiatic) (RA),834,1801.166666,7204.666667
0.04,PUMPKIN - GREEN (RA),835,208,5200
0.2,PUMPKIN (RA),835,3852,19260
0.25,PUMPKIN - GREEN (RA),835,417,1668
0.25,Pumpkin (Ra),835,2277,9108
0.3,PUMPKIN (RA),835,1399,4663.333333
0.4,PUMPKIN - GREEN (RA),835,461,1152.5
0.4,PUMPKIN (RA),835,10785,26962.5
0.5,PUMPKIN - GREEN (RA),835,240,480
0.5,PUMPKIN (RA),835,1058,2116
0.6,PUMPKIN - GREEN (RA),835,2079,3465
1,PUMPKIN - GREEN (RA),835,3750.5,3750.5
1,PUMPKIN (RA),835,2430,2430
0.05,TOMATO ROUND DESI (RA),841,325.44,6508.8
0.25,TOMATO ROUND DESI (RA),841,4059,16236
0.4,"Tomato - Round, Desi (RA)",841,6001,15002.5
0.5,TOMATO ROUND DESI (RA),841,8721.444444,17442.88889
0.6,TOMATO ROUND DESI (RA),841,445,741.6666667
0.75,TOMATO ROUND DESI (RA),841,6996.666666,9328.888889
1,TOMATO ROUND DESI (RA),841,27000,27000
0.3,SPONGE GOURD (RA),842,7663000,25543333.33
0.4,SPONGE GOURD (RA),842,1758,4395
0.5,SPONGE GOURD (RA),842,3380.333333,6760.666667
0.6,SPONGE GOURD (RA),842,1497.5,2495.833333
0.8,SPONGE GOURD (RA),842,5681,7101.25
1,SPONGE GOURD (RA),842,7860.5,7860.5
0.02,RIDGE GOURD (RA),851,115,5750
0.02,RADISH (Asiatic) (Del/Nwl/Pun-Win),853,211,10550
0.13,RADISH (Asiatic) (Del/Nwl/Pun-Win),853,5086,39123.07692
0.13,RADISH (Asiatic) (Del/Nwl-Win),853,852,6553.846154
0.25,RADISH (Asiatic) (Del/Nwl/Pun-Win),853,2463.8,9855.2
0.25,RADISH (Asiatic) (Del/Nwl-Win),853,3385.545454,13542.18182
0.38,RADISH (Asiatic) (Del/Nwl-Win),853,9817,25834.21053
0.5,RADISH (Asiatic) (Del/Nwl/Pun-Win),853,3686,7372
0.5,RADISH (Asiatic) (Del/Nwl-Win),853,7788,15576
0.63,RADISH (Asiatic) (Del/Nwl/Pun-Win),853,4374,6942.857143
0.04,BEETROOT (Del/Nwl-Win),855,48,1200
0.2,BEETROOT (Del/Nwl-Win),855,393.5,1967.5
0.25,BEETROOT (Del/Nwl-Win),855,2094,8376
0.38,BEETROOT (Del/Nwl-Win),855,2244,5905.263158
0.4,BEETROOT (Del/Nwl-Win),855,501,1252.5
0.5,BEETROOT (Del/Nwl-Win),855,5617.5,11235
0.6,BEETROOT (Del/Nwl-Win),855,846,1410
1,BEETROOT (Del/Nwl-Win),855,5502.5,5502.5
0.04,CARROT - RED (Del/Nwl-Win),856,161,4025
0.25,CARROT - RED (Del/Nwl-Win),856,882.5,3530
0.4,CARROT - RED (Del/Nwl-Win),856,7141.5,17853.75
0.04,FENUGREEK (Del/Nwl-Win),857,201,5025
0.1,FENUGREEK (Del-Win),857,370,3700
0.2,FENUGREEK (Del/Nwl-Win),857,772,3860
0.2,FENUGREEK (Del-Win),857,1085,5425
0.3,FENUGREEK (Del/Nwl-Win),857,2241,7470
0.3,FENUGREEK (Del-Win),857,1899,6330
0.4,FENUGREEK (Del/Nwl-Win),857,739,1847.5
0.5,FENUGREEK (Del/Nwl-Win),857,1020,2040
0.5,FENUGREEK (Del-Win),857,486,972
0.6,FENUGREEK (Del/Nwl-Win),857,4778,7963.333333
0.9,FENUGREEK (Del-Win),857,2662,2957.777778
1.1,FENUGREEK (Del/Nwl-Win),857,4932,4483.636364
1.1,FENUGREEK (Del-Win),857,1872,1701.818182
0.06,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,544,9066.666667
0.1,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,793,7930
0.1,CORIANDER – Leaf (Del-Sum/Win),858,359.5,3595
