block_id,plan_id,farming_type,shade,sunlight_summer,sunlight_winter,crop_area,primary_output,yield_perunit_area
29,2039,N,0.00,6.00,5.00,0.50,1784.00,3568.0000000000
29,2114,N,0.00,6.00,5.00,0.30,3175.00,10583.3333333333
29,3135,N,0.00,6.00,5.00,0.50,1418.00,2836.0000000000
29,2113,N,0.00,6.00,5.00,0.30,1154.00,3846.6666666666
29,2129,N,0.00,6.00,5.00,0.40,1784.00,4460.0000000000
29,1759,N,0.00,6.00,5.00,0.30,711.00,2370.0000000000
29,1750,N,0.00,6.00,5.00,0.10,493.00,4930.0000000000
29,2930,N,0.00,6.00,5.00,0.40,5129.00,12822.5000000000
30,434,N,0.00,6.00,5.00,0.04,104.00,2600.0000000000
30,458,N,0.00,6.00,5.00,0.04,131.80,3295.0000000000
30,459,N,0.00,6.00,5.00,0.04,159.60,3990.0000000000
30,460,N,0.00,6.00,5.00,0.04,136.40,3410.0000000000
30,463,N,0.00,6.00,5.00,0.04,159.00,3975.0000000000
31,317,N,0.00,6.00,5.00,0.74,3890.00,5256.7567567567
31,1896,N,0.00,6.00,5.00,0.25,537.00,2148.0000000000
31,1897,N,0.00,6.00,5.00,0.50,357.00,714.0000000000
31,3352,N,0.00,6.00,5.00,0.40,193.00,482.5000000000
33,274,N,0.00,6.00,5.00,0.50,4583.00,9166.0000000000
36,316,N,0.00,6.00,5.00,0.80,5060.00,6325.0000000000
36,528,N,0.00,6.00,5.00,0.80,4632.00,5790.0000000000
36,585,N,0.00,6.00,5.00,0.70,3377.50,4825.0000000000
36,586,N,0.00,6.00,5.00,0.80,781.00,976.2500000000
36,587,N,0.00,6.00,5.00,0.80,8110.00,10137.5000000000
36,801,N,0.00,6.00,5.00,0.40,289.00,722.5000000000
36,1890,N,0.00,6.00,5.00,0.50,2593.00,5186.0000000000
36,1891,N,0.00,6.00,5.00,0.90,2662.00,2957.7777777777
36,2322,N,0.00,6.00,5.00,0.80,3358.00,4197.5000000000
36,802,N,0.00,6.00,5.00,0.20,1276.00,6380.0000000000
36,1869,N,0.00,6.00,5.00,0.60,437.00,728.3333333333
36,2152,N,0.00,6.00,5.00,1.00,3049.00,3049.0000000000
36,346,N,0.00,6.00,5.00,0.50,3660.00,7320.0000000000
36,1889,N,0.00,6.00,5.00,0.60,846.00,1410.0000000000
37,1516,N,0.00,6.00,5.00,0.60,2023.00,3371.6666666666
37,1911,N,0.00,6.00,5.00,0.50,3151.00,6302.0000000000
37,249,N,0.00,6.00,5.00,0.40,7410.00,18525.0000000000
37,250,N,0.00,6.00,5.00,0.25,1160.00,4640.0000000000
37,1729,N,0.00,6.00,5.00,0.50,486.00,972.0000000000
37,1842,N,0.00,6.00,5.00,0.50,3151.00,6302.0000000000
39,260,N,0.00,6.00,5.00,1.00,9910.00,9910.0000000000
39,270,N,0.00,6.00,5.00,1.00,12500.00,12500.0000000000
39,959,N,0.00,6.00,5.00,1.00,1624.00,1624.0000000000
39,961,N,0.00,6.00,5.00,0.60,1864.00,3106.6666666666
39,3138,N,0.00,6.00,5.00,0.60,3399.00,5665.0000000000
39,3314,N,0.00,6.00,5.00,1.00,2420.00,2420.0000000000
40,606,N,0.00,6.00,5.00,0.50,137.00,274.0000000000
40,804,N,0.00,6.00,5.00,1.50,5455.10,3636.7333333333
40,842,N,0.00,6.00,5.00,0.50,1272.00,2544.0000000000
40,847,N,0.00,6.00,5.00,0.40,299.00,747.5000000000
40,1406,N,0.00,6.00,5.00,0.40,3414.00,8535.0000000000
40,1876,N,0.00,6.00,5.00,0.10,1647.00,16470.0000000000
40,2138,N,0.00,6.00,5.00,0.50,307.00,614.0000000000
40,131,N,0.00,6.00,5.00,0.10,570.00,5700.0000000000
40,194,N,0.00,6.00,5.00,0.20,3440.00,17200.0000000000
40,2297,N,0.00,6.00,5.00,0.50,1310.00,2620.0000000000
40,1742,N,0.00,6.00,5.00,0.40,8109.00,20272.5000000000
43,471,N,0.00,6.00,5.00,0.50,1250.00,2500.0000000000
43,846,N,0.00,6.00,5.00,0.50,940.00,1880.0000000000
43,1405,N,0.00,6.00,5.00,0.20,558.00,2790.0000000000
43,1871,N,0.00,6.00,5.00,0.20,1756.00,8780.0000000000
43,2151,N,0.00,6.00,5.00,0.10,2017.00,20170.0000000000
43,2148,N,0.00,6.00,5.00,0.10,351.00,3510.0000000000
43,2150,N,0.00,6.00,5.00,0.30,627.00,2090.0000000000
43,1744,N,0.00,6.00,5.00,0.40,6174.00,15435.0000000000
44,807,N,0.00,6.00,5.00,0.70,7251.00,10358.5714285714
44,253,N,0.00,6.00,5.00,1.00,10500.00,10500.0000000000
55,839,N,0.00,6.00,5.00,0.40,704.50,1761.2500000000
55,840,N,0.00,6.00,5.00,0.30,536.00,1786.6666666666
55,841,N,0.00,6.00,5.00,0.30,1399.00,4663.3333333333
55,2592,N,0.00,6.00,5.00,0.50,635.00,1270.0000000000
55,2593,N,0.00,6.00,5.00,0.50,2983.00,5966.0000000000
55,2131,N,0.00,6.00,5.00,1.00,11604.00,11604.0000000000
55,868,N,0.00,6.00,5.00,1.00,8227.00,8227.0000000000
56,581,N,0.00,6.00,5.00,0.40,2447.00,6117.5000000000
56,2117,N,0.00,6.00,5.00,0.40,1514.00,3785.0000000000
56,207,N,0.00,6.00,5.00,0.20,1000.00,5000.0000000000
57,622,N,0.00,6.00,5.00,1.00,23523.00,23523.0000000000
57,1264,N,0.00,6.00,5.00,0.30,112.00,373.3333333333
57,2128,N,0.00,6.00,5.00,1.00,6189.00,6189.0000000000
57,2323,N,0.00,6.00,5.00,0.20,1708.00,8540.0000000000
59,854,N,0.00,6.00,5.00,0.30,16071.00,53570.0000000000
59,983,N,0.00,6.00,5.00,0.30,1800.00,6000.0000000000
59,2107,N,0.00,6.00,5.00,0.60,1210.00,2016.6666666666
59,2430,N,0.00,6.00,5.00,0.60,2672.00,4453.3333333333
60,602,N,0.00,6.00,5.00,0.40,1001.00,2502.5000000000
60,963,N,0.00,6.00,5.00,0.20,1178.00,5890.0000000000
60,1139,N,0.00,6.00,5.00,0.40,469.00,1172.5000000000
60,1344,N,0.00,6.00,5.00,0.20,882.00,4410.0000000000
66,1908,N,0.00,6.00,5.00,0.25,5953.50,23814.0000000000
66,1909,N,0.00,6.00,5.00,0.25,2877.00,11508.0000000000
66,2934,N,0.00,6.00,5.00,0.25,1500.00,6000.0000000000
66,2875,N,0.00,6.00,5.00,0.25,3415.00,13660.0000000000
66,3089,N,0.00,6.00,5.00,0.25,3164.00,12656.0000000000
66,3295,N,0.00,6.00,5.00,0.25,3165.00,12660.0000000000
67,277,N,0.00,6.00,5.00,1.00,500.00,500.0000000000
67,278,N,0.00,6.00,5.00,1.00,3800.00,3800.0000000000
68,296,C,35.00,14.10,10.90,1.00,18000.00,18000.0000000000
68,303,C,35.00,14.10,10.90,1.25,9000.00,7200.0000000000
70,344,N,0.00,6.00,5.00,1.00,4901.00,4901.0000000000
70,876,N,0.00,6.00,5.00,1.00,188.00,188.0000000000
70,879,N,0.00,6.00,5.00,0.20,850.00,4250.0000000000
70,760,N,0.00,6.00,5.00,0.30,178.00,593.3333333333
70,1345,N,0.00,6.00,5.00,0.60,993.00,1655.0000000000
70,1755,N,0.00,6.00,5.00,0.40,461.00,1152.5000000000
70,2428,N,0.00,6.00,5.00,0.50,4559.00,9118.0000000000
70,2429,N,0.00,6.00,5.00,0.30,2659.00,8863.3333333333
70,1760,N,0.00,6.00,5.00,0.20,2369.00,11845.0000000000
70,556,N,0.00,6.00,5.00,0.60,1084.00,1806.6666666666
70,1839,N,0.00,6.00,5.00,1.00,533.00,533.0000000000
70,2270,N,0.00,6.00,5.00,0.40,4357.00,10892.5000000000
70,1838,N,0.00,6.00,5.00,0.40,1562.00,3905.0000000000
70,2042,N,0.00,6.00,5.00,0.40,1330.00,3325.0000000000
70,2043,N,0.00,6.00,5.00,0.40,5851.00,14627.5000000000
70,2112,N,0.00,6.00,5.00,1.00,9101.00,9101.0000000000
70,2472,N,0.00,6.00,5.00,0.20,1963.00,9815.0000000000
70,1074,N,0.00,6.00,5.00,0.60,793.00,1321.6666666666
73,325,N,0.00,6.00,5.00,0.30,326.00,1086.6666666666
73,326,N,0.00,6.00,5.00,0.30,1536.00,5120.0000000000
73,492,N,0.00,6.00,5.00,0.60,7084.50,11807.5000000000
73,493,N,0.00,6.00,5.00,0.40,5995.00,14987.5000000000
73,918,N,0.00,6.00,5.00,0.40,920.00,2300.0000000000
73,2496,N,0.00,6.00,5.00,0.40,3859.00,9647.5000000000
73,1349,N,0.00,6.00,5.00,0.20,132.00,660.0000000000
73,1727,N,0.00,6.00,5.00,0.30,870.00,2900.0000000000
73,2207,N,0.00,6.00,5.00,0.20,1710.00,8550.0000000000
73,2208,N,0.00,6.00,5.00,0.20,772.00,3860.0000000000
73,2889,N,0.00,6.00,5.00,0.30,1534.00,5113.3333333333
73,2033,N,0.00,6.00,5.00,0.20,1085.00,5425.0000000000
73,2035,N,0.00,6.00,5.00,0.30,3129.00,10430.0000000000
73,2124,N,0.00,6.00,5.00,0.20,1299.00,6495.0000000000
73,2125,N,0.00,6.00,5.00,0.40,2116.00,5290.0000000000
73,1994,N,0.00,6.00,5.00,0.20,407.00,2035.0000000000
73,1409,N,0.00,6.00,5.00,0.20,1537.00,7685.0000000000
74,327,N,0.00,6.00,5.00,0.20,2674.00,13370.0000000000
74,328,N,0.00,6.00,5.00,0.30,5636.00,18786.6666666666
74,329,N,0.00,6.00,5.00,0.10,332.00,3320.0000000000
74,330,N,0.00,6.00,5.00,0.20,2674.00,13370.0000000000
74,880,N,0.00,6.00,5.00,0.20,6428.00,32140.0000000000
74,781,N,0.00,6.00,5.00,0.60,9811.00,16351.6666666666
74,2037,N,0.00,6.00,5.00,0.10,247.00,2470.0000000000
74,2122,N,0.00,6.00,5.00,0.60,2913.00,4855.0000000000
74,2427,N,0.00,6.00,5.00,0.20,1725.00,8625.0000000000
74,2585,N,0.00,6.00,5.00,0.60,4944.00,8240.0000000000
75,331,N,0.00,6.00,5.00,0.30,5025.00,16750.0000000000
75,582,N,0.00,6.00,5.00,0.60,1131.00,1885.0000000000
75,2314,N,0.00,6.00,5.00,0.60,4514.00,7523.3333333333
77,343,N,0.00,6.00,5.00,0.20,297.00,1485.0000000000
77,869,N,0.00,6.00,5.00,0.30,1559.00,5196.6666666666
77,1072,N,0.00,6.00,5.00,0.30,158.00,526.6666666666
